pais,indicador,año,valor
COL,inflacion,2018,3.24056932930569
COL,desempleo,2025,8.29
COL,desempleo,2024,9.619
COL,desempleo,2023,9.591
COL,desempleo,2022,10.541
COL,desempleo,2021,13.898
COL,desempleo,2020,15.983
COL,desempleo,2019,10.28
COL,desempleo,2018,9.36
COL,apertura_comercial,2024,37.0254687077888
COL,apertura_comercial,2023,40.3881324933957
COL,apertura_comercial,2022,48.2826551123359
COL,apertura_comercial,2021,40.0591463936128
COL,apertura_comercial,2020,34.0555709680101
COL,apertura_comercial,2019,37.558533980839
COL,apertura_comercial,2018,36.5347527968973
URY,pib_per_capita,2024,18958.6033293537
URY,pib_per_capita,2023,18378.9833563662
URY,pib_per_capita,2022,18228.3558443761
URY,pib_per_capita,2021,17416.0052208869
URY,pib_per_capita,2020,16443.3635000843
URY,pib_per_capita,2019,17758.4384372986
URY,pib_per_capita,2018,17608.9441195037
URY,crecimiento_pib,2024,3.10825478066172
URY,crecimiento_pib,2023,0.742128785315927
URY,crecimiento_pib,2022,4.48622703072073
URY,crecimiento_pib,2021,5.84427312558179
URY,crecimiento_pib,2020,-7.35732706484723
URY,crecimiento_pib,2019,0.928351141267498
URY,crecimiento_pib,2018,0.164777608940113
URY,inflacion,2024,4.84914366613156
URY,inflacion,2023,5.86910359896119
URY,inflacion,2022,9.10437983075437
URY,inflacion,2021,7.74791402314762
URY,inflacion,2020,9.75640636078194
URY,inflacion,2019,7.88198870879619
URY,inflacion,2018,7.60653360377047
URY,desempleo,2025,7.516
URY,desempleo,2024,8.209
URY,desempleo,2023,8.355
URY,desempleo,2022,7.877
URY,desempleo,2021,9.328
URY,desempleo,2020,10.413
URY,desempleo,2019,8.836
URY,desempleo,2018,8.336
URY,apertura_comercial,2024,52.4649167856379
URY,apertura_comercial,2023,52.910987066463
URY,apertura_comercial,2022,61.0307951043821
URY,apertura_comercial,2021,58.3150410230338
URY,apertura_comercial,2020,47.7318733182088
URY,apertura_comercial,2019,49.7448341159636
URY,apertura_comercial,2018,47.7913104806475
